contrast,group_a,group_b,panel_size,n_per_group,mean_a,mean_b,observed_d,perm_p,mde_80,seeds_for_80,underpowered,verdict
rep_vs_ideo_p3,representative_sortition,ideological_selection,3,846,0.1224,0.1243,-0.0203,0.6773,0.1362,38100,True,underpowered-null
rep_vs_ideo_p6,representative_sortition,ideological_selection,6,1523,0.1542,0.1511,0.0356,0.3227,0.1015,12396,True,underpowered-null
rep_vs_ideo_p9,representative_sortition,ideological_selection,9,1533,0.1479,0.1523,-0.0519,0.1516,0.1012,5819,True,underpowered-null
rep_vs_ideo_p12,representative_sortition,ideological_selection,12,1527,0.1531,0.1532,-0.0007,0.9834,0.1014,,True,underpowered-null
pair_expertise_threshold__vs__ideological_selection_p3,expertise_threshold,ideological_selection,3,846,0.0368,0.1243,-1.2901,0.0002,0.1362,10,False,significant
pair_expertise_threshold__vs__random_selection_p3,expertise_threshold,random_selection,3,886,0.0368,0.1184,-1.2591,0.0002,0.1331,10,False,significant
pair_expertise_threshold__vs__representative_sortition_p3,expertise_threshold,representative_sortition,3,889,0.0368,0.1224,-1.2897,0.0002,0.1329,10,False,significant
pair_ideological_selection__vs__random_selection_p3,ideological_selection,random_selection,3,846,0.1243,0.1184,0.0620,0.1966,0.1362,4085,True,underpowered-null
pair_ideological_selection__vs__representative_sortition_p3,ideological_selection,representative_sortition,3,846,0.1243,0.1224,0.0203,0.6783,0.1362,38100,True,underpowered-null
pair_random_selection__vs__representative_sortition_p3,random_selection,representative_sortition,3,886,0.1184,0.1224,-0.0423,0.3737,0.1331,8794,True,underpowered-null
pair_expertise_threshold__vs__ideological_selection_p6,expertise_threshold,ideological_selection,6,1525,0.0376,0.1511,-1.7622,0.0002,0.1015,6,False,significant
pair_expertise_threshold__vs__random_selection_p6,expertise_threshold,random_selection,6,1522,0.0376,0.1546,-1.7886,0.0002,0.1016,5,False,significant
pair_expertise_threshold__vs__representative_sortition_p6,expertise_threshold,representative_sortition,6,1523,0.0376,0.1542,-1.8120,0.0002,0.1015,5,False,significant
pair_ideological_selection__vs__random_selection_p6,ideological_selection,random_selection,6,1522,0.1511,0.1546,-0.0406,0.2613,0.1016,9515,True,underpowered-null
pair_ideological_selection__vs__representative_sortition_p6,ideological_selection,representative_sortition,6,1523,0.1511,0.1542,-0.0356,0.3235,0.1015,12396,True,underpowered-null
pair_random_selection__vs__representative_sortition_p6,random_selection,representative_sortition,6,1522,0.1546,0.1542,0.0054,0.8806,0.1016,543625,True,underpowered-null
pair_expertise_threshold__vs__ideological_selection_p9,expertise_threshold,ideological_selection,9,1534,0.0370,0.1523,-1.7679,0.0002,0.1012,6,False,significant
pair_expertise_threshold__vs__random_selection_p9,expertise_threshold,random_selection,9,1533,0.0370,0.1548,-1.8442,0.0002,0.1012,5,False,significant
pair_expertise_threshold__vs__representative_sortition_p9,expertise_threshold,representative_sortition,9,1533,0.0370,0.1479,-1.7896,0.0002,0.1012,5,False,significant
pair_ideological_selection__vs__random_selection_p9,ideological_selection,random_selection,9,1533,0.1523,0.1548,-0.0283,0.4169,0.1012,19544,True,underpowered-null
pair_ideological_selection__vs__representative_sortition_p9,ideological_selection,representative_sortition,9,1533,0.1523,0.1479,0.0519,0.1442,0.1012,5819,True,underpowered-null
pair_random_selection__vs__representative_sortition_p9,random_selection,representative_sortition,9,1533,0.1548,0.1479,0.0817,0.0244,0.1012,2351,True,significant
pair_expertise_threshold__vs__ideological_selection_p12,expertise_threshold,ideological_selection,12,1529,0.0373,0.1532,-1.6855,0.0002,0.1013,6,False,significant
pair_expertise_threshold__vs__random_selection_p12,expertise_threshold,random_selection,12,1532,0.0373,0.1533,-1.7841,0.0002,0.1012,5,False,significant
pair_expertise_threshold__vs__representative_sortition_p12,expertise_threshold,representative_sortition,12,1527,0.0373,0.1531,-1.6758,0.0002,0.1014,6,False,significant
pair_ideological_selection__vs__random_selection_p12,ideological_selection,random_selection,12,1529,0.1532,0.1533,-0.0007,0.9828,0.1013,,True,underpowered-null
pair_ideological_selection__vs__representative_sortition_p12,ideological_selection,representative_sortition,12,1527,0.1532,0.1531,0.0007,0.9830,0.1014,,True,underpowered-null
pair_random_selection__vs__representative_sortition_p12,random_selection,representative_sortition,12,1527,0.1533,0.1531,0.0014,0.9676,0.1014,,True,underpowered-null
